productid,weight,fat_content,category,outlet_type
102596,9,Low Fat,Frozen Foods,Supermarket Type2
102597,20.25,Low Fat,Household,Grocery Store
102598,19.5,Regular,Canned,Supermarket Type1
102599,,Low Fat,Fruits and Vegetables,Supermarket Type3
102600,,Low Fat,Canned,Grocery Store
102601,20.75,Low Fat,Fruits and Vegetables,Supermarket Type1
102602,12.8,Low Fat,Others,Supermarket Type1
102603,17.75,Regular,Baking Goods,Supermarket Type1
102604,18.85,Low Fat,Baking Goods,Supermarket Type1
102605,,Low Fat,Baking Goods,Grocery Store
102606,11,Low Fat,Meat,Supermarket Type1
102607,19.85,Regular,Breads,Supermarket Type1
102608,15.6,Low Fat,Baking Goods,Supermarket Type1
102609,,low fat,Household,Grocery Store
102610,15.85,Regular,Snack Foods,Supermarket Type1
102611,16.1,Regular,Fruits and Vegetables,Supermarket Type1
102612,5.845,Regular,Frozen Foods,Supermarket Type1
102613,16.6,Low Fat,Health and Hygiene,Supermarket Type1
102614,17.7,Regular,Meat,Supermarket Type1
102615,7.55,Regular,Fruits and Vegetables,Supermarket Type1
102616,18.5,Low Fat,Meat,Supermarket Type1
102617,15.6,Low Fat,Snack Foods,Supermarket Type1
102618,18.6,Low Fat,Snack Foods,Supermarket Type1
102619,13.3,Low Fat,Baking Goods,Supermarket Type1
102620,,Regular,Baking Goods,Supermarket Type3
102621,,Regular,Frozen Foods,Grocery Store
102622,,Low Fat,Household,Grocery Store
102623,,Low Fat,Dairy,Supermarket Type3
102624,15.1,Low Fat,Household,Supermarket Type1
102625,,Low Fat,Health and Hygiene,Grocery Store
102626,7.535,Low Fat,Soft Drinks,Grocery Store
102627,12.35,Low Fat,Fruits and Vegetables,Supermarket Type1
102628,20.25,Low Fat,Health and Hygiene,Grocery Store
102629,9.395,Low Fat,Snack Foods,Supermarket Type2
102630,12.5,Low Fat,Canned,Supermarket Type1
102631,,Low Fat,Snack Foods,Supermarket Type3
102632,6.92,Regular,Breakfast,Supermarket Type1
102633,5.735,Low Fat,Fruits and Vegetables,Supermarket Type1
102634,,Low Fat,Household,Supermarket Type3
102635,17.25,Regular,Snack Foods,Supermarket Type1
102636,10.3,Regular,Fruits and Vegetables,Supermarket Type1
102637,8.985,Low Fat,Fruits and Vegetables,Supermarket Type2
102638,6.385,Regular,Snack Foods,Supermarket Type1
102639,5.78,Low Fat,Soft Drinks,Supermarket Type1
102640,9.6,Low Fat,Soft Drinks,Supermarket Type1
102641,16.75,Low Fat,Health and Hygiene,Supermarket Type2
102642,5.88,Regular,Frozen Foods,Supermarket Type1
102643,9.195,Low Fat,Snack Foods,Supermarket Type1
102644,17.6,Low Fat,Snack Foods,Supermarket Type1
102645,18.35,Low Fat,Fruits and Vegetables,Supermarket Type1
102646,17.25,Low Fat,Soft Drinks,Supermarket Type1
102647,20.85,Regular,Breads,Supermarket Type1
102648,5.4,LF,Health and Hygiene,Grocery Store
102649,,Regular,Snack Foods,Supermarket Type3
102650,17.5,Low Fat,Fruits and Vegetables,Grocery Store
102651,15.2,Low Fat,Snack Foods,Supermarket Type2
102652,16.2,Regular,Frozen Foods,Grocery Store
102653,20.1,Regular,Fruits and Vegetables,Supermarket Type1
102654,20.75,Regular,Seafood,Supermarket Type1
102655,19.2,Low Fat,Household,Supermarket Type1
102656,7.785,Low Fat,Dairy,Supermarket Type1
102657,,Regular,Frozen Foods,Supermarket Type3
102658,17.85,Low Fat,Meat,Supermarket Type1
102659,9.5,Low Fat,Fruits and Vegetables,Supermarket Type1
102660,7.825,Low Fat,Meat,Supermarket Type1
102661,19.7,Regular,Canned,Supermarket Type1
102662,20.35,Regular,Meat,Supermarket Type1
102663,13.35,Low Fat,Snack Foods,Grocery Store
102664,10.395,Low Fat,Snack Foods,Supermarket Type1
102665,13.85,Low Fat,Hard Drinks,Supermarket Type1
102666,6.85,LF,Frozen Foods,Supermarket Type1
102667,5.19,Regular,Meat,Supermarket Type1
102668,10.195,Low Fat,Canned,Supermarket Type1
102669,,Low Fat,Household,Supermarket Type3
102670,20.2,Low Fat,Household,Supermarket Type1
102671,7.89,Low Fat,Dairy,Supermarket Type2
102672,,Regular,Breakfast,Supermarket Type3
102673,6.385,Low Fat,Hard Drinks,Supermarket Type1
102674,10.1,Low Fat,Household,Supermarket Type1
102675,11.65,Regular,Baking Goods,Supermarket Type2
102676,18.35,Regular,Fruits and Vegetables,Supermarket Type1
102677,15.75,Low Fat,Household,Grocery Store
102678,,Low Fat,Dairy,Supermarket Type3
102679,6.035,Low Fat,Snack Foods,Supermarket Type1
102680,,Regular,Snack Foods,Grocery Store
102681,7.68,Low Fat,Health and Hygiene,Supermarket Type1
102682,17.75,Low Fat,Dairy,Supermarket Type1
102683,17.75,LF,Fruits and Vegetables,Supermarket Type2
102684,20.1,Regular,Fruits and Vegetables,Supermarket Type1
102685,16.7,Regular,Frozen Foods,Supermarket Type1
102686,5.5,Low Fat,Others,Supermarket Type1
102687,6.13,Low Fat,Fruits and Vegetables,Supermarket Type1
102688,11.8,Regular,Snack Foods,Supermarket Type1
102689,11.6,Regular,Frozen Foods,Supermarket Type1
102690,,Low Fat,Household,Supermarket Type3
102691,19,Regular,Frozen Foods,Supermarket Type1
102692,13.5,Regular,Starchy Foods,Supermarket Type2
102693,5,low fat,Soft Drinks,Supermarket Type1
102694,,Regular,Breakfast,Grocery Store
102695,17.6,Low Fat,Household,Supermarket Type1
102696,11.5,Low Fat,Health and Hygiene,Supermarket Type1
102697,6.895,Low Fat,Meat,Supermarket Type1
102698,,Low Fat,Snack Foods,Supermarket Type3
102699,15.5,Regular,Fruits and Vegetables,Supermarket Type1
102700,18.35,Low Fat,Hard Drinks,Supermarket Type1
102701,14.5,Regular,Snack Foods,Supermarket Type1
102702,9.3,Low Fat,Household,Supermarket Type1
102703,6.55,Regular,Breads,Supermarket Type1
102704,17.6,Low Fat,Health and Hygiene,Supermarket Type1
102705,10.395,Regular,Baking Goods,Supermarket Type1
102706,9.5,Regular,Fruits and Vegetables,Supermarket Type2
102707,18.85,Low Fat,Health and Hygiene,Supermarket Type2
102708,18.6,Low Fat,Health and Hygiene,Supermarket Type1
102709,6.035,Low Fat,Snack Foods,Supermarket Type1
102710,12.1,Low Fat,Fruits and Vegetables,Supermarket Type1
102711,20.75,Regular,Seafood,Supermarket Type1
102712,9.895,Low Fat,Household,Grocery Store
102713,10.5,Low Fat,Household,Supermarket Type2
102714,,Low Fat,Health and Hygiene,Supermarket Type3
102715,10.5,Regular,Snack Foods,Supermarket Type1
102716,16.25,Low Fat,Household,Supermarket Type1
102717,6.11,Regular,Soft Drinks,Supermarket Type1
102718,11.8,Low Fat,Health and Hygiene,Supermarket Type1
102719,18.5,Low Fat,Snack Foods,Supermarket Type1
102720,14.6,Low Fat,Soft Drinks,Supermarket Type1
102721,16.75,Low Fat,Breads,Grocery Store
102722,15.1,Low Fat,Snack Foods,Supermarket Type1
102723,15.2,Low Fat,Household,Supermarket Type1
102724,11.1,Low Fat,Baking Goods,Supermarket Type1
102725,14.85,Low Fat,Fruits and Vegetables,Supermarket Type1
102726,15,Low Fat,Starchy Foods,Supermarket Type2
102727,,Low Fat,Health and Hygiene,Grocery Store
102728,,Regular,Frozen Foods,Supermarket Type3
102729,8.645,Low Fat,Canned,Supermarket Type2
102730,,Low Fat,Dairy,Supermarket Type3
102731,15.5,Low Fat,Baking Goods,Supermarket Type1
102732,7.72,Regular,Fruits and Vegetables,Supermarket Type1
102733,16,LF,Dairy,Supermarket Type1
102734,9.6,Low Fat,Snack Foods,Supermarket Type2
102735,15.35,Low Fat,Frozen Foods,Supermarket Type1
102736,12.3,Low Fat,Household,Supermarket Type1
102737,19.1,Low Fat,Others,Supermarket Type2
102738,9.195,Low Fat,Frozen Foods,Supermarket Type1
102739,6.13,Low Fat,Household,Supermarket Type1
102740,13,Low Fat,Household,Supermarket Type1
102741,15.1,Low Fat,Snack Foods,Supermarket Type2
102742,19.75,Low Fat,Fruits and Vegetables,Supermarket Type1
102743,12.1,Low Fat,Snack Foods,Supermarket Type1
102744,16.1,Regular,Frozen Foods,Supermarket Type1
102745,15.7,Low Fat,Canned,Supermarket Type2
102746,10,Regular,Frozen Foods,Supermarket Type1
102747,8.42,Low Fat,Household,Supermarket Type1
102748,5.175,Low Fat,Health and Hygiene,Supermarket Type1
102749,20.25,Low Fat,Health and Hygiene,Supermarket Type1
102750,19.5,Low Fat,Household,Supermarket Type2
102751,,Low Fat,Frozen Foods,Grocery Store
102752,7.575,Low Fat,Dairy,Supermarket Type2
102753,10.65,Low Fat,Others,Supermarket Type1
102754,11.395,Low Fat,Health and Hygiene,Supermarket Type1
102755,17.75,Low Fat,Fruits and Vegetables,Supermarket Type2
102756,9.5,Regular,Canned,Supermarket Type1
102757,9.895,Regular,Canned,Supermarket Type1
102758,12.1,Low Fat,Fruits and Vegetables,Supermarket Type1
102759,13,Regular,Canned,Supermarket Type1
102760,,Low Fat,Fruits and Vegetables,Grocery Store
102761,14.65,Low Fat,Household,Supermarket Type1
102762,12.3,Low Fat,Frozen Foods,Supermarket Type1
102763,15.1,Low Fat,Fruits and Vegetables,Supermarket Type1
102764,11,Low Fat,Health and Hygiene,Supermarket Type2
102765,9.42,Regular,Frozen Foods,Supermarket Type1
102766,,Low Fat,Breakfast,Supermarket Type3
102767,16.6,Low Fat,Fruits and Vegetables,Supermarket Type2
102768,19.25,Regular,Frozen Foods,Supermarket Type1
102769,15.1,Regular,Fruits and Vegetables,Supermarket Type1
102770,,Low Fat,Household,Supermarket Type3
102771,7.27,Regular,Canned,Grocery Store
102772,15.1,Low Fat,Household,Supermarket Type1
102773,10.895,Low Fat,Fruits and Vegetables,Supermarket Type1
102774,19.5,Low Fat,Breads,Supermarket Type1
102775,7.685,Low Fat,Health and Hygiene,Supermarket Type1
102776,7.105,low fat,Household,Supermarket Type1
102777,13.15,Low Fat,Fruits and Vegetables,Supermarket Type1
102778,15.85,Regular,Meat,Supermarket Type2
102779,10.5,Regular,Breads,Grocery Store
102780,5.985,Low Fat,Baking Goods,Supermarket Type1
102781,,Low Fat,Snack Foods,Supermarket Type3
102782,12,Regular,Meat,Supermarket Type1
102783,8.63,LF,Snack Foods,Supermarket Type1
102784,6.465,Low Fat,Canned,Supermarket Type1
102785,13.65,Regular,Canned,Supermarket Type2
102786,15.6,Low Fat,Snack Foods,Supermarket Type1
102787,,Regular,Snack Foods,Supermarket Type3
102788,14,Low Fat,Health and Hygiene,Grocery Store
102789,11,Low Fat,Health and Hygiene,Supermarket Type1
102790,10.1,Low Fat,Canned,Supermarket Type1
102791,19.25,Regular,Meat,Supermarket Type1
102792,16.75,Low Fat,Hard Drinks,Supermarket Type1
102793,,Low Fat,Hard Drinks,Supermarket Type3
102794,10.895,Low Fat,Fruits and Vegetables,Supermarket Type1
102795,16.25,low fat,Fruits and Vegetables,Grocery Store
102796,16.1,Low Fat,Fruits and Vegetables,Supermarket Type2
102797,13,Low Fat,Canned,Supermarket Type1
102798,,reg,Meat,Grocery Store
102799,,LF,Others,Grocery Store
102800,10.395,Low Fat,Baking Goods,Supermarket Type1
102801,18.2,Low Fat,Household,Supermarket Type1
102802,10.3,Regular,Baking Goods,Supermarket Type1
102803,14.6,Low Fat,Household,Supermarket Type1
102804,11.6,Regular,Breakfast,Supermarket Type1
102805,18.25,Low Fat,Frozen Foods,Supermarket Type1
102806,7.6,Regular,Starchy Foods,Supermarket Type1
102807,,Low Fat,Frozen Foods,Grocery Store
102808,19.2,Low Fat,Canned,Supermarket Type1
102809,12.1,Low Fat,Baking Goods,Supermarket Type1
102810,16.1,Low Fat,Dairy,Supermarket Type1
102811,10.3,Low Fat,Meat,Supermarket Type1
102812,18.85,Regular,Snack Foods,Supermarket Type1
102813,14,Low Fat,Household,Supermarket Type1
102814,14.85,Low Fat,Fruits and Vegetables,Supermarket Type1
102815,11.8,Low Fat,Health and Hygiene,Supermarket Type1
102816,15.5,Regular,Snack Foods,Supermarket Type1
102817,20.35,Low Fat,Meat,Supermarket Type2
102818,13.65,Low Fat,Frozen Foods,Supermarket Type1
102819,,Regular,Frozen Foods,Grocery Store
102820,8.71,LF,Canned,Supermarket Type1
102821,20,Regular,Baking Goods,Supermarket Type1
102822,20.2,Low Fat,Snack Foods,Supermarket Type1
102823,,Regular,Frozen Foods,Grocery Store
102824,16.2,Low Fat,Household,Supermarket Type1
102825,9.695,Regular,Baking Goods,Supermarket Type1
102826,,Regular,Breads,Supermarket Type3
102827,15.35,LF,Others,Grocery Store
102828,12.1,Low Fat,Household,Supermarket Type1
102829,,Low Fat,Frozen Foods,Grocery Store
102830,,Low Fat,Snack Foods,Grocery Store
102831,5.73,Low Fat,Soft Drinks,Supermarket Type1
102832,8.31,Regular,Snack Foods,Supermarket Type1
102833,8.575,Low Fat,Soft Drinks,Supermarket Type1
102834,7.81,Regular,Snack Foods,Supermarket Type1
102835,,Low Fat,Hard Drinks,Supermarket Type3
102836,16.5,Regular,Snack Foods,Grocery Store
102837,,Low Fat,Starchy Foods,Grocery Store
102838,10.395,Regular,Meat,Supermarket Type1
102839,15.5,Regular,Baking Goods,Supermarket Type1
102840,16.7,Regular,Fruits and Vegetables,Supermarket Type2
102841,10.695,Low Fat,Frozen Foods,Supermarket Type1
102842,,Low Fat,Frozen Foods,Supermarket Type3
102843,,Regular,Meat,Grocery Store
102844,18,Low Fat,Household,Supermarket Type2
102845,,Low Fat,Fruits and Vegetables,Supermarket Type3
102846,10.1,Regular,Snack Foods,Supermarket Type1
102847,19.35,Regular,Soft Drinks,Supermarket Type2
102848,14,Regular,Dairy,Grocery Store
102849,6.63,Regular,Snack Foods,Supermarket Type1
102850,6.69,Regular,Meat,Grocery Store
102851,,Low Fat,Frozen Foods,Grocery Store
102852,15.6,Low Fat,Others,Supermarket Type1
102853,12.8,Low Fat,Starchy Foods,Supermarket Type1
102854,18.85,Low Fat,Health and Hygiene,Supermarket Type1
102855,10.895,Low Fat,Others,Supermarket Type1
102856,7.485,Low Fat,Snack Foods,Supermarket Type1
102857,,Low Fat,Canned,Supermarket Type3
102858,13,Low Fat,Household,Supermarket Type1
102859,6.635,Low Fat,Household,Supermarket Type1
102860,18.7,Low Fat,Health and Hygiene,Supermarket Type1
102861,,Regular,Frozen Foods,Supermarket Type3
102862,6.325,Low Fat,Frozen Foods,Grocery Store
102863,,Regular,Frozen Foods,Supermarket Type3
102864,10,LF,Frozen Foods,Supermarket Type1
102865,17.85,Low Fat,Meat,Grocery Store
102866,15.7,reg,Fruits and Vegetables,Supermarket Type1
102867,15.2,Low Fat,Soft Drinks,Supermarket Type1
102868,9.5,Low Fat,Snack Foods,Supermarket Type1
102869,,Low Fat,Frozen Foods,Supermarket Type3
102870,7.785,Low Fat,Fruits and Vegetables,Supermarket Type1
102871,7.17,Regular,Fruits and Vegetables,Grocery Store
102872,7.36,Low Fat,Frozen Foods,Supermarket Type2
102873,16.75,Low Fat,Health and Hygiene,Supermarket Type1
102874,11.15,Low Fat,Dairy,Supermarket Type1
102875,9.6,Low Fat,Health and Hygiene,Supermarket Type1
102876,,Regular,Breakfast,Supermarket Type3
102877,12,Low Fat,Canned,Supermarket Type1
102878,13.15,Low Fat,Frozen Foods,Supermarket Type2
102879,11.1,Low Fat,Household,Supermarket Type2
102880,10.695,Low Fat,Fruits and Vegetables,Supermarket Type1
102881,7.81,Regular,Canned,Supermarket Type1
102882,21.2,Regular,Starchy Foods,Supermarket Type1
102883,6.825,Low Fat,Health and Hygiene,Supermarket Type2
102884,8.1,Low Fat,Fruits and Vegetables,Supermarket Type1
102885,15.85,Regular,Frozen Foods,Supermarket Type1
102886,10,Low Fat,Household,Supermarket Type1
102887,6.425,Low Fat,Canned,Supermarket Type1
102888,15.5,Regular,Fruits and Vegetables,Supermarket Type1
102889,,Regular,Frozen Foods,Supermarket Type3
102890,16.7,Low Fat,Dairy,Supermarket Type1
102891,19,Regular,Frozen Foods,Supermarket Type1
102892,12.15,Low Fat,Health and Hygiene,Supermarket Type1
102893,12.3,Regular,Snack Foods,Supermarket Type1
102894,16.1,Regular,Frozen Foods,Supermarket Type1
102895,11.85,Regular,Fruits and Vegetables,Supermarket Type2
102896,15.1,Regular,Fruits and Vegetables,Supermarket Type1
102897,8.6,Low Fat,Household,Grocery Store
102898,20.25,Regular,Dairy,Grocery Store
102899,5.88,Low Fat,Hard Drinks,Supermarket Type1
102900,6.635,Low Fat,Household,Supermarket Type2
102901,15.2,Low Fat,Health and Hygiene,Supermarket Type1
102902,6.57,Low Fat,Household,Supermarket Type1
102903,15.5,Regular,Fruits and Vegetables,Supermarket Type1
102904,11,Regular,Fruits and Vegetables,Supermarket Type1
102905,10.695,Low Fat,Fruits and Vegetables,Grocery Store
102906,17.25,Low Fat,Dairy,Supermarket Type1
102907,14.65,Low Fat,Household,Supermarket Type1
102908,9.3,Low Fat,Canned,Supermarket Type1
102909,7.825,Low Fat,Meat,Supermarket Type1
102910,,LF,Soft Drinks,Grocery Store
102911,,Regular,Baking Goods,Supermarket Type3
102912,6.69,Regular,Meat,Supermarket Type1
102913,20.1,LF,Health and Hygiene,Supermarket Type1
102914,14.85,low fat,Household,Supermarket Type1
102915,11.395,reg,Meat,Supermarket Type2
102916,,Low Fat,Fruits and Vegetables,Grocery Store
102917,18.6,Low Fat,Others,Supermarket Type1
102918,10.195,Low Fat,Snack Foods,Supermarket Type1
102919,13.5,Low Fat,Soft Drinks,Supermarket Type1
102920,4.805,Regular,Dairy,Supermarket Type1
102921,17.2,Regular,Canned,Grocery Store
102922,9,low fat,Snack Foods,Supermarket Type1
102923,19.75,Low Fat,Fruits and Vegetables,Grocery Store
102924,10.3,Low Fat,Baking Goods,Supermarket Type1
102925,15.6,Low Fat,Snack Foods,Supermarket Type1
102926,16.1,reg,Frozen Foods,Supermarket Type1
102927,9.3,Low Fat,Hard Drinks,Supermarket Type1
102928,,Regular,Frozen Foods,Grocery Store
102929,11.85,Regular,Baking Goods,Supermarket Type2
102930,16.75,Low Fat,Fruits and Vegetables,Supermarket Type1
102931,18.85,Low Fat,Baking Goods,Supermarket Type1
102932,7.895,Regular,Breakfast,Supermarket Type1
102933,19.85,Low Fat,Fruits and Vegetables,Supermarket Type1
102934,11.35,Regular,Dairy,Supermarket Type1
102935,16,Low Fat,Dairy,Supermarket Type2
102936,11.65,Low Fat,Snack Foods,Supermarket Type1
102937,16.5,Regular,Breakfast,Supermarket Type2
102938,7.17,Regular,Fruits and Vegetables,Supermarket Type1
102939,17.7,Regular,Fruits and Vegetables,Supermarket Type1
102940,5.675,Regular,Snack Foods,Supermarket Type1
102941,,Low Fat,Dairy,Supermarket Type3
102942,17.2,Low Fat,Meat,Supermarket Type1
102943,9.6,Low Fat,Soft Drinks,Supermarket Type1
102944,,Regular,Frozen Foods,Supermarket Type3
102945,20.6,Low Fat,Fruits and Vegetables,Supermarket Type1
102946,10.195,Low Fat,Frozen Foods,Supermarket Type2
102947,,Low Fat,Dairy,Supermarket Type3
102948,19.7,Low Fat,Soft Drinks,Supermarket Type1
102949,11.35,Low Fat,Snack Foods,Supermarket Type1
102950,6.235,Low Fat,Household,Supermarket Type1
102951,18.2,Low Fat,Fruits and Vegetables,Supermarket Type1
102952,15.6,Low Fat,Dairy,Supermarket Type1
102953,7.785,Regular,Fruits and Vegetables,Supermarket Type1
102954,18.85,Low Fat,Canned,Supermarket Type1
102955,16.85,Low Fat,Fruits and Vegetables,Supermarket Type1
102956,10.695,Regular,Snack Foods,Supermarket Type1
102957,16.75,LF,Health and Hygiene,Supermarket Type1
102958,9.6,Low Fat,Household,Supermarket Type1
102959,18.7,Low Fat,Soft Drinks,Supermarket Type1
102960,15.2,Low Fat,Snack Foods,Supermarket Type1
102961,16.1,Regular,Fruits and Vegetables,Supermarket Type2
102962,16.7,Regular,Baking Goods,Supermarket Type1
102963,9.395,Regular,Frozen Foods,Supermarket Type1
102964,10.5,Regular,Dairy,Supermarket Type1
102965,14.15,Low Fat,Starchy Foods,Supermarket Type2
102966,9.06,Low Fat,Others,Supermarket Type1
102967,,Low Fat,Snack Foods,Supermarket Type3
102968,,Regular,Baking Goods,Grocery Store
102969,17.6,Low Fat,Dairy,Supermarket Type2
102970,8.43,LF,Household,Supermarket Type1
102971,7.81,Low Fat,Soft Drinks,Supermarket Type1
102972,6.57,Low Fat,Household,Supermarket Type1
102973,8.27,Low Fat,Health and Hygiene,Supermarket Type1
102974,,Regular,Baking Goods,Grocery Store
102975,7.235,Low Fat,Household,Supermarket Type2
102976,7.105,Low Fat,Household,Supermarket Type1
102977,5.21,Low Fat,Household,Supermarket Type2
102978,14.6,Low Fat,Others,Supermarket Type1
102979,7.72,Low Fat,Fruits and Vegetables,Grocery Store
102980,10.5,Low Fat,Hard Drinks,Supermarket Type1
102981,15.7,LF,Soft Drinks,Supermarket Type1
102982,8.3,Regular,Dairy,Grocery Store
102983,6.17,Low Fat,Meat,Grocery Store
102984,7.71,Regular,Snack Foods,Supermarket Type2
102985,,Low Fat,Soft Drinks,Supermarket Type3
102986,,LF,Snack Foods,Supermarket Type3
102987,19.75,Regular,Frozen Foods,Supermarket Type1
102988,,Regular,Snack Foods,Supermarket Type3
102989,16.2,Low Fat,Canned,Grocery Store
102990,9.285,Regular,Frozen Foods,Supermarket Type1
102991,20,Low Fat,Others,Supermarket Type1
102992,16.35,Low Fat,Fruits and Vegetables,Supermarket Type1
102993,19.35,Regular,Fruits and Vegetables,Supermarket Type1
102994,16.2,Low Fat,Frozen Foods,Supermarket Type1
102995,15.35,Regular,Meat,Supermarket Type1
102996,5.4,Low Fat,Health and Hygiene,Supermarket Type1
102997,,Low Fat,Household,Supermarket Type3
102998,10.395,Low Fat,Baking Goods,Supermarket Type1
102999,12.8,Low Fat,Starchy Foods,Supermarket Type1
103000,5.59,Regular,Snack Foods,Supermarket Type1
103001,11.395,Regular,Meat,Supermarket Type1
103002,13.85,LF,Hard Drinks,Supermarket Type1
103003,12.85,Low Fat,Fruits and Vegetables,Supermarket Type1
103004,15.6,Low Fat,Dairy,Supermarket Type1
103005,10.5,Regular,Snack Foods,Supermarket Type1
103006,6.865,Low Fat,Soft Drinks,Supermarket Type1
103007,10.895,Regular,Frozen Foods,Supermarket Type1
103008,10.5,Regular,Fruits and Vegetables,Supermarket Type1
103009,,Low Fat,Others,Supermarket Type3
103010,,Low Fat,Fruits and Vegetables,Supermarket Type3
103011,11.35,Regular,Snack Foods,Supermarket Type1
103012,19.75,Low Fat,Household,Supermarket Type1
103013,,Low Fat,Starchy Foods,Supermarket Type3
103014,16.2,Regular,Frozen Foods,Supermarket Type2
103015,7.565,LF,Health and Hygiene,Supermarket Type1
103016,4.92,Low Fat,Baking Goods,Supermarket Type1
103017,,Low Fat,Dairy,Grocery Store
103018,13.6,Low Fat,Household,Supermarket Type1
103019,19.2,Regular,Canned,Supermarket Type1
103020,,LF,Dairy,Supermarket Type3
103021,19.2,Low Fat,Household,Supermarket Type1
103022,8.05,Regular,Dairy,Supermarket Type1
103023,14.85,Regular,Fruits and Vegetables,Grocery Store
103024,14.6,Low Fat,Household,Supermarket Type1
103025,12.85,Low Fat,Health and Hygiene,Supermarket Type1
103026,10.395,Regular,Meat,Supermarket Type1
103027,15.85,Regular,Baking Goods,Grocery Store
103028,17,Regular,Canned,Grocery Store
103029,7.64,Regular,Snack Foods,Supermarket Type1
103030,13.3,Low Fat,Frozen Foods,Supermarket Type2
103031,15,Low Fat,Health and Hygiene,Grocery Store
103032,21.1,Regular,Breakfast,Supermarket Type1
103033,17.2,Regular,Canned,Supermarket Type1
103034,6.4,Low Fat,Frozen Foods,Supermarket Type2
103035,19.7,Low Fat,Hard Drinks,Supermarket Type1
103036,7.785,Regular,Fruits and Vegetables,Supermarket Type1
103037,7.435,LF,Starchy Foods,Supermarket Type1
103038,13.1,Low Fat,Dairy,Supermarket Type1
103039,9.6,reg,Breads,Supermarket Type1
103040,8.115,Regular,Canned,Supermarket Type1
103041,16.6,Low Fat,Frozen Foods,Supermarket Type1
103042,8.21,low fat,Hard Drinks,Supermarket Type1
103043,6.655,Low Fat,Fruits and Vegetables,Supermarket Type2
103044,12.8,Regular,Dairy,Supermarket Type1
103045,,Regular,Baking Goods,Supermarket Type3
103046,19.35,Regular,Fruits and Vegetables,Supermarket Type1
103047,7.76,Low Fat,Snack Foods,Grocery Store
103048,7.575,Low Fat,Dairy,Supermarket Type1
103049,11.35,Regular,Dairy,Supermarket Type2
103050,10,Low Fat,Health and Hygiene,Supermarket Type1
103051,15.85,Regular,Baking Goods,Supermarket Type1
103052,12.65,Low Fat,Soft Drinks,Supermarket Type1
103053,18.1,Low Fat,Fruits and Vegetables,Supermarket Type1
103054,12.35,Regular,Fruits and Vegetables,Supermarket Type1
103055,18.75,Low Fat,Dairy,Supermarket Type2
103056,,Low Fat,Dairy,Supermarket Type3
103057,,Low Fat,Household,Supermarket Type3
103058,9.1,Regular,Frozen Foods,Supermarket Type2
103059,11,Regular,Frozen Foods,Supermarket Type1
103060,,Low Fat,Health and Hygiene,Grocery Store
103061,13.35,Regular,Canned,Supermarket Type2
103062,20,Regular,Fruits and Vegetables,Supermarket Type1
103063,8.775,Low Fat,Fruits and Vegetables,Supermarket Type1
103064,,Regular,Canned,Grocery Store
103065,8.93,Low Fat,Dairy,Supermarket Type1
103066,15.75,Low Fat,Dairy,Supermarket Type1
103067,,Low Fat,Others,Grocery Store
103068,,Low Fat,Dairy,Supermarket Type3
103069,8.645,Low Fat,Canned,Supermarket Type1
103070,9.395,Regular,Frozen Foods,Supermarket Type1
103071,13.1,Low Fat,Dairy,Supermarket Type1
103072,,Regular,Meat,Grocery Store
103073,7.645,Regular,Snack Foods,Supermarket Type1
103074,7.63,Regular,Snack Foods,Supermarket Type1
103075,6.61,Regular,Snack Foods,Supermarket Type1
103076,,Low Fat,Household,Supermarket Type3
103077,,reg,Dairy,Supermarket Type3
103078,,Low Fat,Dairy,Supermarket Type3
103079,19.25,Regular,Frozen Foods,Supermarket Type1
103080,15.35,Regular,Meat,Supermarket Type1
103081,20.5,Low Fat,Fruits and Vegetables,Supermarket Type1
103082,,Low Fat,Household,Supermarket Type3
103083,,Low Fat,Hard Drinks,Grocery Store
103084,7.905,Low Fat,Frozen Foods,Supermarket Type1
103085,,Low Fat,Health and Hygiene,Grocery Store
103086,10.1,Low Fat,Health and Hygiene,Supermarket Type2
103087,,Low Fat,Snack Foods,Grocery Store
103088,,Low Fat,Soft Drinks,Supermarket Type3
103089,18.7,Low Fat,Dairy,Supermarket Type1
103090,7.275,Low Fat,Snack Foods,Supermarket Type2
103091,,LF,Starchy Foods,Supermarket Type3
103092,14.5,Low Fat,Others,Supermarket Type1
103093,17.25,Low Fat,Dairy,Supermarket Type1
103094,20.2,Low Fat,Household,Supermarket Type1
103095,12.15,Low Fat,Household,Supermarket Type1
103096,,Low Fat,Frozen Foods,Grocery Store
103097,12.5,reg,Baking Goods,Supermarket Type1
103098,,Low Fat,Frozen Foods,Supermarket Type3
103099,11.5,Low Fat,Starchy Foods,Supermarket Type1
103100,11.3,Low Fat,Baking Goods,Supermarket Type2
103101,12.8,Regular,Breads,Supermarket Type1
103102,6.895,Low Fat,Meat,Supermarket Type1
103103,12.85,Low Fat,Starchy Foods,Supermarket Type1
103104,,Regular,Frozen Foods,Supermarket Type3
103105,16.85,Low Fat,Fruits and Vegetables,Supermarket Type2
103106,17.85,Regular,Fruits and Vegetables,Supermarket Type1
103107,8.365,Low Fat,Hard Drinks,Supermarket Type1
103108,9.395,Low Fat,Snack Foods,Supermarket Type1
103109,,Low Fat,Soft Drinks,Grocery Store
103110,13.65,Low Fat,Breads,Grocery Store
103111,,Regular,Fruits and Vegetables,Grocery Store
103112,13.35,Low Fat,Meat,Supermarket Type2
